code,description,symptoms
I10,Pirminė (esencialinė) hipertenzija,"padidėjęs kraujospūdis, galvos skausmas pakaušyje, spaudimas, hipertonija"
J06.9,"Ūminė viršutinių kvėpavimo takų infekcija, nepatikslinta","peršalimas, sloga, kosulys, gerklės perštėjimas, neaukšta temperatūra"
M54.5,Apatinės nugaros dalies skausmas,"skauda nugarą, juosmens skausmas, surakino nugarą, sunku pasilenkti, maudžia juosmenį"
E11.9,2 tipo cukrinis diabetas be komplikacijų,"padidėjęs cukrus kraujyje, troškulys, silpnumas, dažnas šlapinimasis, glikemija"
I25.1,Aterosklerozinė širdies liga,"krūtinės angina, spaudimas krūtinėje, dusulys fizinio krūvio metu, širdies plotas"
J01.9,"Ūminis sinusitas, nepatikslintas","užgulta nosis, spaudimas veido srityje, pūlingos išskyros iš nosies, galvos skausmas"
H52.1,Miopija (trumparegystė),"prastai mato į tolį, neryškus vaizdas, liejasi, akiniai minusas"
K21.9,Gastroezofaginio refliukso liga (GERL) be ezofagito,"rėmuo, kyla rūgštys, deginimas už krūtinkaulio, atsirūgimas, skrandžio rūgštingumas"
D50.9,"Geležies stokos anemija, nepatikslinta","silpnumas, nuovargis, blyški oda, slenka plaukai, žemas hemoglobinas, trūksta geležies, feritinas"
N39.0,"Šlapimo takų infekcija, vieta nepatikslinta","peršti šlapinantis, dažnas lakstymas į tualetą, skausmas pilvo apačioje, cistitas"
G47.0,Užmigimo ir miego palaikymo sutrikimai (insomnija),"nemiga, sunku užmigti, dažnai prabunda, neišsimiega, miego trūkumas"
F41.1,Generalizuotas nerimo sutrikimas,"nerimas, įtampa, panikos atakos, širdies permušimai dėl streso, baimė"
I11.9,Hipertenzinė širdies liga be širdies nepakankamumo,"aukštas spaudimas, širdies hipertrofija EKG, padidėjęs kraujospūdis ilgą laiką"
M17.9,"Kelio sąnario artrozė (gonartrozė), nepatikslinta","traška kelias, skauda lipant laiptais, kelio sąnario skausmas, tinimas, sunku sulenkti koją"
M16.9,"Klubo sąnario artrozė (koksartrozė), nepatikslinta","klubo skausmas, sunku vaikščioti, kirkšnies skausmas, riboti judesiai"
J45.9,"Astma, nepatikslinta","dusulys, švokštimas krūtinėje, priepuolinis kosulys, trūksta oro, inhaliatorius"
I48.0,Prieširdžių virpėjimas ir plakimas,"neritmiškas pulsas, širdis permuša, virpėjimas, aritmija, greitas širdies plakimas"
K58.9,Dirgliosios žarnos sindromas be diarėjos,"pilvo pūtimas, spazmai, nevirškinimas, diskomfortas pilve, dujos"
L20.9,"Atopinis dermatitas, nepatikslintas","sausa oda, niežulys, bėrimas, paraudimas, pleiskanojimas, alergija odos"
H25.9,"Senatvinė katarakta, nepatikslinta","pablogėjęs regėjimas, mato kaip per rūką, drumzliškas vaizdas, akies lęšiuko drumstis"
E03.9,"Hipotirozė, nepatikslinta","lėta medžiagų apykaita, auga svoris, šalčio netoleravimas, skydliaukės hormonų trūkumas"
D64.9,"Anemija (mažakraujystė), nepatikslinta","mažakraujystė, bendras silpnumas, greitas nuovargis, žemas hemoglobinas"
Z00.0,Bendras suaugusiojo medicininis ištyrimas (profilaktika),"profilaktinis patikrinimas, metinė apžiūra, sveikatos pažyma, nusiskundimų neturi, sveikas"
Z01.0,Akių ir regėjimo ištyrimas,"regos patikrinimas, profilaktika akims, vairuotojo pažyma regai, regėjimo aštrumas"
Z11.3,Specialus atrankinis ištyrimas infekcinėms ligoms nustatyti,"kraujo tyrimas dėl infekcijų, ŽIV testas, lytiškai plintančių ligų patikra, erkinis encefalitas"
J02.9,"Ūminis faringitas, nepatikslintas","skauda gerklę, sunku ryti, paraudusi ryklė, peršti, raudona gerklė"
J03.9,"Ūminis tonzilitas, nepatikslintas","pūlinga angina, didelis gerklės skausmas, padidėję tonzilės, aukšta temperatūra, pūlinukai"
J30.4,"Alerginis rinitas, nepatikslintas","šienligė, varva nosis, čiaudulys, ašaroja akys pavasarį, alergija, užgulta nosis"
